0 1 -5 1  0 14.891760000000003 -2.1040266666666683
1 0 5 -1  0 14.891760000000003 -2.1040266666666683
0 1 -4 -1  0 14.891760000000003 -2.1040266666666683
1 0 4 1  0 14.891760000000003 -2.1040266666666683
0 1 -3 2  0 14.891760000000003 -2.1040266666666683
1 0 3 -2  0 14.891760000000003 -2.1040266666666683
0 1 -2 -2  0 14.891760000000003 -2.1040266666666683
1 0 2 2  0 14.891760000000003 -2.1040266666666683
0 1 -2 2  0 14.891760000000003 -2.1040266666666683
1 0 2 -2  0 14.891760000000003 -2.1040266666666683
0 1 -1 2  0 14.891760000000003 -2.1040266666666683
1 0 1 -2  0 14.891760000000003 -2.1040266666666683
0 1 2 -3  0 14.891760000000003 -2.1040266666666683
1 0 -2 3  0 14.891760000000003 -2.1040266666666683
0 1 3 -3  0 14.891760000000003 -2.1040266666666683
1 0 -3 3  0 14.891760000000003 -2.1040266666666683
0 1 3 1  0 14.891760000000003 -2.1040266666666683
1 0 -3 -1  0 14.891760000000003 -2.1040266666666683
0 1 4 -3  0 14.891760000000003 -2.1040266666666683
1 0 -4 3  0 14.891760000000003 -2.1040266666666683
0 1 5 0  0 14.891760000000003 -2.1040266666666683
1 0 -5 0  0 14.891760000000003 -2.1040266666666683
0 1 -4 2  0 15.872599999999998 -7.814400000000001
1 0 4 -2  0 15.872599999999998 -7.814400000000001
0 1 0 2  0 15.872599999999998 -7.814400000000001
1 0 0 -2  0 15.872599999999998 -7.814400000000001
0 1 1 -3  0 15.872599999999998 -7.814400000000001
1 0 -1 3  0 15.872599999999998 -7.814400000000001
0 1 5 -3  0 15.872599999999998 -7.814400000000001
1 0 -5 3  0 15.872599999999998 -7.814400000000001
0 1 -6 1  0 17.184913043478254 0.06278260869565218
1 0 6 -1  0 17.184913043478254 0.06278260869565218
0 1 -5 2  0 17.184913043478254 0.06278260869565218
1 0 5 -2  0 17.184913043478254 0.06278260869565218
0 1 -3 -2  0 17.184913043478254 0.06278260869565218
1 0 3 2  0 17.184913043478254 0.06278260869565218
0 1 0 -3  0 17.184913043478254 0.06278260869565218
1 0 0 3  0 17.184913043478254 0.06278260869565218
0 1 1 2  0 17.184913043478254 0.06278260869565218
1 0 -1 -2  0 17.184913043478254 0.06278260869565218
0 1 4 1  0 17.184913043478254 0.06278260869565218
1 0 -4 -1  0 17.184913043478254 0.06278260869565218
0 1 -6 2  0 18.871 -7.815971428571428
1 0 6 -2  0 18.871 -7.815971428571428
0 1 -1 -3  0 18.871 -7.815971428571428
1 0 1 3  0 18.871 -7.815971428571428
0 1 2 2  0 18.871 -7.815971428571428
1 0 -2 -2  0 18.871 -7.815971428571428
0 4 0 0  0 2.9922424242424253 -0.3652878787878787
4 0 0 0  0 2.9922424242424253 -0.3652878787878787
0 4 1 0  0 2.9922424242424253 -0.3652878787878787
4 0 -1 0  0 2.9922424242424253 -0.3652878787878787
0 4 -1 0  0 5.097010309278353 -0.016629896907216477
4 0 1 0  0 5.097010309278353 -0.016629896907216477
0 4 1 -1  0 5.097010309278353 -0.016629896907216477
4 0 -1 1  0 5.097010309278353 -0.016629896907216477
0 4 2 -1  0 5.097010309278353 -0.016629896907216477
4 0 -2 1  0 5.097010309278353 -0.016629896907216477
0 4 2 0  0 5.097010309278353 -0.016629896907216477
4 0 -2 0  0 5.097010309278353 -0.016629896907216477
0 4 0 -1  0 6.5764 0.006777142857142858
4 0 0 1  0 6.5764 0.006777142857142858
0 4 3 -1  0 6.5764 0.006777142857142858
4 0 -3 1  0 6.5764 0.006777142857142858
0 4 -2 0  0 7.804435294117652 -0.0018270588235294108
4 0 2 0  0 7.804435294117652 -0.0018270588235294108
0 4 -1 1  0 7.804435294117652 -0.0018270588235294108
4 0 1 -1  0 7.804435294117652 -0.0018270588235294108
0 4 0 1  0 7.804435294117652 -0.0018270588235294108
4 0 0 -1  0 7.804435294117652 -0.0018270588235294108
0 4 3 0  0 7.804435294117652 -0.0018270588235294108
4 0 -3 0  0 7.804435294117652 -0.0018270588235294108
0 4 -2 1  0 8.843968253968251 0.0005952380952380951
4 0 2 -1  0 8.843968253968251 0.0005952380952380951
0 4 -1 -1  0 8.843968253968251 0.0005952380952380951
4 0 1 1  0 8.843968253968251 0.0005952380952380951
0 4 1 1  0 8.843968253968251 0.0005952380952380951
4 0 -1 -1  0 8.843968253968251 0.0005952380952380951
0 4 4 -1  0 8.843968253968251 0.0005952380952380951
4 0 -4 1  0 8.843968253968251 0.0005952380952380951
0 4 -3 0  0 10.625506329113914 -0.003639240506329115
4 0 3 0  0 10.625506329113914 -0.003639240506329115
0 4 -3 1  0 10.625506329113914 -0.003639240506329115
4 0 3 -1  0 10.625506329113914 -0.003639240506329115
0 4 2 -2  0 10.625506329113914 -0.003639240506329115
4 0 -2 2  0 10.625506329113914 -0.003639240506329115
0 4 2 1  0 10.625506329113914 -0.003639240506329115
4 0 -2 -1  0 10.625506329113914 -0.003639240506329115
0 4 3 -2  0 10.625506329113914 -0.003639240506329115
4 0 -3 2  0 10.625506329113914 -0.003639240506329115
0 4 4 0  0 10.625506329113914 -0.003639240506329115
4 0 -4 0  0 10.625506329113914 -0.003639240506329115
0 4 -2 -1  0 11.403540540540543 0.0004675675675675678
4 0 2 1  0 11.403540540540543 0.0004675675675675678
0 4 1 -2  0 11.403540540540543 0.0004675675675675678
4 0 -1 2  0 11.403540540540543 0.0004675675675675678
0 4 4 -2  0 11.403540540540543 0.0004675675675675678
4 0 -4 2  0 11.403540540540543 0.0004675675675675678
0 4 5 -1  0 11.403540540540543 0.0004675675675675678
4 0 -5 1  0 11.403540540540543 0.0004675675675675678
0 4 -4 1  0 12.846060606060611 -0.000839393939393939
4 0 4 -1  0 12.846060606060611 -0.000839393939393939
0 4 0 -2  0 12.846060606060611 -0.000839393939393939
4 0 0 2  0 12.846060606060611 -0.000839393939393939
0 4 3 1  0 12.846060606060611 -0.000839393939393939
4 0 -3 -1  0 12.846060606060611 -0.000839393939393939
0 4 5 -2  0 12.846060606060611 -0.000839393939393939
4 0 -5 2  0 12.846060606060611 -0.000839393939393939
0 4 -4 0  0 13.514769230769234 -0.006297435897435891
4 0 4 0  0 13.514769230769234 -0.006297435897435891
0 4 -2 2  0 13.514769230769234 -0.006297435897435891
4 0 2 -2  0 13.514769230769234 -0.006297435897435891
0 4 -1 2  0 13.514769230769234 -0.006297435897435891
4 0 1 -2  0 13.514769230769234 -0.006297435897435891
0 4 5 0  0 13.514769230769234 -0.006297435897435891
4 0 -5 0  0 13.514769230769234 -0.006297435897435891
0 4 -3 -1  0 14.14141379310344 0.006603448275862069
4 0 3 1  0 14.14141379310344 0.006603448275862069
0 4 -3 2  0 14.14141379310344 0.006603448275862069
4 0 3 -2  0 14.14141379310344 0.006603448275862069
0 4 0 2  0 14.14141379310344 0.006603448275862069
4 0 0 -2  0 14.14141379310344 0.006603448275862069
0 4 -1 -2  0 14.72388888888889 0.0016222222222222226
4 0 1 2  0 14.72388888888889 0.0016222222222222226
0 4 -5 1  0 15.324799999999993 -0.010452000000000001
4 0 5 -1  0 15.324799999999993 -0.010452000000000001
